Time,AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Heat Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Sens Cool Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Tot Cool Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Heat Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Sens Cool Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Tot Cool Cap [W],AIRLOOP DATACENTER BOT:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER BOT:DesPer 1:Des Heat Cap [W],AIRLOOP DATACENTER BOT:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER BOT:DesPer 1:Des Sens Cool Cap [W],AIRLOOP DATACENTER BOT:DesPer 1:Des Tot Cool Cap [W],AIRLOOP DATACENTER BOT:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER BOT:DesPer 2:Des Heat Cap [W],AIRLOOP DATACENTER BOT:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER BOT:DesPer 2:Des Sens Cool Cap [W],AIRLOOP DATACENTER BOT:DesPer 2:Des Tot Cool Cap [W],AIRLOOP DATACENTER MID:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER MID:DesPer 1:Des Heat Cap [W],AIRLOOP DATACENTER MID:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER MID:DesPer 1:Des Sens Cool Cap [W],AIRLOOP DATACENTER MID:DesPer 1:Des Tot Cool Cap [W],AIRLOOP DATACENTER MID:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER MID:DesPer 2:Des Heat Cap [W],AIRLOOP DATACENTER MID:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER MID:DesPer 2:Des Sens Cool Cap [W],AIRLOOP DATACENTER MID:DesPer 2:Des Tot Cool Cap [W],AIRLOOP DATACENTER TOP:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER TOP:DesPer 1:Des Heat Cap [W],AIRLOOP DATACENTER TOP:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER TOP:DesPer 1:Des Sens Cool Cap [W],AIRLOOP DATACENTER TOP:DesPer 1:Des Tot Cool Cap [W],AIRLOOP DATACENTER TOP:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER TOP:DesPer 2:Des Heat Cap [W],AIRLOOP DATACENTER TOP:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER TOP:DesPer 2:Des Sens Cool Cap [W],AIRLOOP DATACENTER TOP:DesPer 2:Des Tot Cool Cap [W],CAV_BAS:DesPer 1:Des Heat Mass Flow [kg/s],CAV_BAS:DesPer 1:Des Heat Cap [W],CAV_BAS:DesPer 1:Des Cool Mass Flow [kg/s],CAV_BAS:DesPer 1:Des Sens Cool Cap [W],CAV_BAS:DesPer 1:Des Tot Cool Cap [W],CAV_BAS:DesPer 2:Des Heat Mass Flow [kg/s],CAV_BAS:DesPer 2:Des Heat Cap [W],CAV_BAS:DesPer 2:Des Cool Mass Flow [kg/s],CAV_BAS:DesPer 2:Des Sens Cool Cap [W],CAV_BAS:DesPer 2:Des Tot Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV_BOT WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV_BOT WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],VAV_MID WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV_MID WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV_MID WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV_MID WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV_MID WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV_MID WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV_TOP WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV_TOP WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 2:Des Tot Cool Cap [W]
00:15:00,4.041332E-01,5.580988E+03,2.544116E+01,3.627180E+05,3.779139E+05,4.041332E-01,2.058911E+04,5.768751E+00,6.700442E+04,6.222695E+04,1.866928E-02,2.578185E+02,5.296116E-01,7.543084E+03,8.125931E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.866928E-01,2.578185E+03,4.981516E+00,7.094183E+04,7.671224E+04,1.866928E-01,9.511314E+03,1.866928E-01,0.000000E+00,0.000000E+00,1.866928E-02,2.578185E+02,4.943705E-01,7.040230E+03,7.616574E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.433314E+00,1.979374E+04,1.433314E+00,1.938182E+04,5.687181E+04,1.433314E+00,7.302209E+04,1.433314E+00,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,1.937567E+00,2.620052E+04,7.687983E+04,1.818778E+00,4.294895E+04,1.818778E+00,0.000000E+00,0.000000E+00,1.818778E+01,0.000000E+00,1.818778E+01,2.459421E+05,7.216646E+05,1.818778E+01,4.294895E+05,1.818778E+01,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,1.818778E+00,2.459421E+04,7.216646E+04,1.818778E+00,4.294895E+04,1.818778E+00,0.000000E+00,0.000000E+00
00:30:00,4.041332E-01,5.616318E+03,2.544428E+01,3.627271E+05,3.779229E+05,4.041332E-01,2.058911E+04,5.768619E+00,6.700253E+04,6.222504E+04,1.866928E-02,2.594506E+02,5.322038E-01,7.578442E+03,8.161737E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.866928E-01,2.594506E+03,5.002839E+00,7.122977E+04,7.700382E+04,1.866928E-01,9.511314E+03,1.866928E-01,0.000000E+00,0.000000E+00,1.866928E-02,2.594506E+02,4.963814E-01,7.067291E+03,7.643976E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.433314E+00,1.991904E+04,1.433314E+00,1.925652E+04,5.674194E+04,1.433314E+00,7.302209E+04,1.433314E+00,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,1.952722E+00,2.623474E+04,7.730423E+04,1.818778E+00,4.294895E+04,1.818778E+00,0.000000E+00,0.000000E+00,1.818778E+01,0.000000E+00,1.818778E+01,2.443521E+05,7.200166E+05,1.818778E+01,4.294895E+05,1.818778E+01,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,1.818778E+00,2.443521E+04,7.200166E+04,1.818778E+00,4.294895E+04,1.818778E+00,0.000000E+00,0.000000E+00
00:45:00,4.041332E-01,5.651649E+03,2.544718E+01,3.627332E+05,3.779289E+05,4.041332E-01,2.058911E+04,5.768419E+00,6.699968E+04,6.222215E+04,1.866928E-02,2.610828E+02,5.343214E-01,7.607025E+03,8.190681E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.866928E-01,2.610828E+03,5.022040E+00,7.148741E+04,7.726471E+04,1.866928E-01,9.511314E+03,1.866928E-01,0.000000E+00,0.000000E+00,1.866928E-02,2.610828E+02,4.983333E-01,7.093511E+03,7.670526E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.433314E+00,2.004435E+04,1.433314E+00,1.913121E+04,5.661204E+04,1.433314E+00,7.302209E+04,1.433314E+00,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,1.991607E+00,2.658305E+04,7.866311E+04,1.818778E+00,4.294895E+04,1.818778E+00,0.000000E+00,0.000000E+00,1.818778E+01,0.000000E+00,1.818778E+01,2.427621E+05,7.183682E+05,1.818778E+01,4.294895E+05,1.818778E+01,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,1.818778E+00,2.427621E+04,7.183682E+04,1.818778E+00,4.294895E+04,1.818778E+00,0.000000E+00,0.000000E+00
01:00:00,4.041332E-01,5.686979E+03,2.544991E+01,3.627368E+05,3.779324E+05,4.041332E-01,2.058911E+04,5.768174E+00,6.699617E+04,6.221860E+04,1.866928E-02,2.627149E+02,5.360288E-01,7.629756E+03,8.213697E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.866928E-01,2.627149E+03,5.038980E+00,7.171282E+04,7.749293E+04,1.866928E-01,9.511314E+03,1.866928E-01,0.000000E+00,0.000000E+00,1.866928E-02,2.627149E+02,5.001233E-01,7.117421E+03,7.694736E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.433314E+00,2.016965E+04,1.433314E+00,1.900591E+04,5.648214E+04,1.433314E+00,7.302209E+04,1.433314E+00,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,2.024822E+00,2.684936E+04,7.979149E+04,1.818778E+00,4.294895E+04,1.818778E+00,0.000000E+00,0.000000E+00,1.818778E+01,0.000000E+00,1.818778E+01,2.411720E+05,7.167199E+05,1.818778E+01,4.294895E+05,1.818778E+01,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,1.818778E+00,2.411720E+04,7.167199E+04,1.830068E+00,4.321554E+04,1.818778E+00,0.000000E+00,0.000000E+00
01:15:00,4.041332E-01,5.710533E+03,2.545251E+01,3.627504E+05,3.779461E+05,4.041332E-01,2.058911E+04,5.767893E+00,6.699217E+04,6.221454E+04,1.866928E-02,2.638029E+02,5.374035E-01,7.648283E+03,8.232458E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.866928E-01,2.638029E+03,5.053815E+00,7.191362E+04,7.769627E+04,1.866928E-01,9.511314E+03,1.866928E-01,0.000000E+00,0.000000E+00,1.866928E-02,2.638029E+02,5.017491E-01,7.139531E+03,7.717126E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.433314E+00,2.025319E+04,1.433314E+00,1.892237E+04,5.639555E+04,1.433314E+00,7.302209E+04,1.433314E+00,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,2.054258E+00,2.711997E+04,8.082739E+04,1.818778E+00,4.294895E+04,1.818778E+00,0.000000E+00,0.000000E+00,1.818778E+01,0.000000E+00,1.818778E+01,2.401120E+05,7.156212E+05,1.818778E+01,4.294895E+05,1.818778E+01,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,1.818778E+00,2.401120E+04,7.156212E+04,1.857855E+00,4.387173E+04,1.818778E+00,0.000000E+00,0.000000E+00
01:30:00,4.041332E-01,5.734086E+03,2.545504E+01,3.627629E+05,3.779586E+05,4.041332E-01,2.058911E+04,5.767585E+00,6.698777E+04,6.221009E+04,1.866928E-02,2.648910E+02,5.385151E-01,7.663057E+03,8.247417E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.866928E-01,2.648910E+03,5.066787E+00,7.208783E+04,7.787268E+04,1.866928E-01,9.511314E+03,1.866928E-01,0.000000E+00,0.000000E+00,1.866928E-02,2.648910E+02,5.032195E-01,7.159424E+03,7.737270E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.433314E+00,2.033672E+04,1.433314E+00,1.883884E+04,5.630896E+04,1.433314E+00,7.302209E+04,1.433314E+00,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,2.080881E+00,2.735016E+04,8.174918E+04,1.818778E+00,4.294895E+04,1.818778E+00,0.000000E+00,0.000000E+00,1.818778E+01,0.000000E+00,1.818778E+01,2.390520E+05,7.145224E+05,1.818778E+01,4.294895E+05,1.818778E+01,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,1.818778E+00,2.390520E+04,7.145224E+04,1.885758E+00,4.453063E+04,1.818778E+00,0.000000E+00,0.000000E+00
01:45:00,4.041332E-01,5.757640E+03,2.545760E+01,3.627759E+05,3.779716E+05,4.041332E-01,2.058911E+04,5.766787E+00,6.697639E+04,6.219856E+04,1.866928E-02,2.659791E+02,5.394539E-01,7.675363E+03,8.259877E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.866928E-01,2.659791E+03,5.078476E+00,7.224374E+04,7.803055E+04,1.866928E-01,9.511314E+03,1.866928E-01,0.000000E+00,0.000000E+00,1.866928E-02,2.659791E+02,5.045486E-01,7.177301E+03,7.755372E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.433314E+00,2.042026E+04,1.433314E+00,1.875530E+04,5.622237E+04,1.433314E+00,7.302209E+04,1.433314E+00,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,2.111207E+00,2.762571E+04,8.281301E+04,1.818778E+00,4.294895E+04,1.818778E+00,0.000000E+00,0.000000E+00,1.818778E+01,0.000000E+00,1.818778E+01,2.379920E+05,7.134236E+05,1.818778E+01,4.294895E+05,1.818778E+01,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,1.818778E+00,2.379920E+04,7.134236E+04,1.912858E+00,4.517057E+04,1.818778E+00,0.000000E+00,0.000000E+00
02:00:00,4.041332E-01,5.781193E+03,2.546012E+01,3.627883E+05,3.779841E+05,4.041332E-01,2.058911E+04,5.765971E+00,6.696475E+04,6.218677E+04,1.866928E-02,2.670672E+02,5.402353E-01,7.685426E+03,8.270064E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.866928E-01,2.670672E+03,5.088809E+00,7.238031E+04,7.816882E+04,1.866928E-01,9.511314E+03,1.866928E-01,0.000000E+00,0.000000E+00,1.866928E-02,2.670672E+02,5.057522E-01,7.193387E+03,7.771661E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.433314E+00,2.050380E+04,1.433314E+00,1.867176E+04,5.613578E+04,1.433314E+00,7.302209E+04,1.433314E+00,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,2.142135E+00,2.790556E+04,8.389676E+04,1.818778E+00,4.294895E+04,1.818778E+00,0.000000E+00,0.000000E+00,1.818778E+01,0.000000E+00,1.818778E+01,2.369320E+05,7.123249E+05,1.818778E+01,4.294895E+05,1.818778E+01,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,1.818778E+00,2.369320E+04,7.123249E+04,1.936448E+00,4.572762E+04,1.818778E+00,0.000000E+00,0.000000E+00
02:15:00,4.041332E-01,5.798859E+03,2.546260E+01,3.628060E+05,3.780019E+05,4.041332E-01,2.058911E+04,5.765142E+00,6.695291E+04,6.217478E+04,1.866928E-02,2.678832E+02,5.408959E-01,7.694036E+03,8.278780E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.866928E-01,2.678832E+03,5.097999E+00,7.250327E+04,7.829333E+04,1.866928E-01,9.511314E+03,1.866928E-01,0.000000E+00,0.000000E+00,1.866928E-02,2.678832E+02,5.068451E-01,7.208166E+03,7.786626E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.433314E+00,2.056645E+04,1.433314E+00,1.860911E+04,5.607083E+04,1.433314E+00,7.302209E+04,1.433314E+00,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,2.171577E+00,2.819418E+04,8.495146E+04,1.818778E+00,4.294895E+04,1.818778E+00,0.000000E+00,0.000000E+00,1.818778E+01,0.000000E+00,1.818778E+01,2.361370E+05,7.115007E+05,1.818778E+01,4.294895E+05,1.818778E+01,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,1.818778E+00,2.361370E+04,7.115007E+04,1.957476E+00,4.622419E+04,1.818778E+00,0.000000E+00,0.000000E+00
02:30:00,4.041332E-01,5.816524E+03,2.546505E+01,3.628233E+05,3.780194E+05,4.041332E-01,2.058911E+04,5.764301E+00,6.694092E+04,6.216263E+04,1.866928E-02,2.686993E+02,5.414638E-01,7.701323E+03,8.286157E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.866928E-01,2.686993E+03,5.106228E+00,7.261253E+04,7.840395E+04,1.866928E-01,9.511314E+03,1.866928E-01,0.000000E+00,0.000000E+00,1.866928E-02,2.686993E+02,5.078413E-01,7.221564E+03,7.800193E+03,1.866928E-02,9.511314E+02,1.866928E-02,0.000000E+00,0.000000E+00,1.433314E+00,2.062910E+04,1.433314E+00,1.854646E+04,5.600588E+04,1.433314E+00,7.302209E+04,1.433314E+00,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,2.199857E+00,2.846518E+04,8.595807E+04,1.818778E+00,4.294895E+04,1.818778E+00,0.000000E+00,0.000000E+00,1.818778E+01,0.000000E+00,1.818778E+01,2.353419E+05,7.106766E+05,1.818778E+01,4.294895E+05,1.818778E+01,0.000000E+00,0.000000E+00,1.818778E+00,0.000000E+00,1.818778E+00,2.353419E+04,7.106766E+04,1.976619E+00,4.667624E+04,1.818778E+00,0.000000E+00,0.000000E+00
